participant,participant_unique_id,birth_date,date,experiment_name,session,loop,trial_id_global,running_index,task_type,trial_type,legality,sentence_complexity,target_sentence,foil_sentence,sentence_frame,foil_sentence_frame,previous_encounters,target_video,foil_video,audio,t_start,t_end,reaction_time,correct_response,response,accuracy
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,41,41,Passive,,legal,2,SBJ.N5 JUMP-INTR LOC.N4,,SBJ-V.INTR-LOC,,0,SBJ-N5-JUMP-INTR-LOC-N4.mp4,,LOC-N4-JUMP-INTR-SBJ-N5.mp3,1299.954,1321.0173,21.063300000000027,,,
250903,250903,,2026-05-06_21h30.49.374,BrocantoHPilot1MorphSession1,1,1,42,42,Passive,,legal,3,OBJ.N5 Ab SBJ.N1 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp4,,PUSH-TR-Ab-SBJ-N1-OBJ-N5.mp3,1321.0183,1367.4813,46.462999999999965,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,1,1,Passive,,legal,1,SBJ.N3 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N3-REVEAL-INTR.mp4,,SBJ-N3-REVEAL-INTR.mp3,679.741,690.253,10.512000000000057,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,2,2,Passive,,legal,2,OBJ.N5 SBJ.N4 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N4-PUSH-TR.mp4,,SBJ-N4-OBJ-N5-PUSH-TR.mp3,690.26,697.899,7.63900000000001,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,3,3,Passive,,legal,2,OBJ.N5 SBJ.N1 HIDE-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-HIDE-TR.mp4,,OBJ-N5-HIDE-TR-SBJ-N1.mp3,697.901,706.537,8.636000000000081,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,4,4,Passive,,legal,1,SBJ.N1 HIDE-INTR,,SBJ-V.INTR,,0,SBJ-N1-HIDE-INTR.mp4,,HIDE-INTR-SBJ-N1.mp3,706.539,712.801,6.262000000000057,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,5,5,Passive,,legal,1,SBJ.N2 REVEAL-INTR,,SBJ-V.INTR,,0,SBJ-N2-REVEAL-INTR.mp4,,SBJ-N2-REVEAL-INTR.mp3,712.802,719.392,6.590000000000032,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,6,6,Passive,,legal,2,OBJ.N5 SBJ.N3 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,719.394,725.819,6.4249999999999545,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,7,7,Passive,,legal,1,SBJ.N2 GO-INTR,,SBJ-V.INTR,,0,SBJ-N2-GO-INTR.mp4,,GO-INTR-SBJ-N2.mp3,725.821,732.071,6.25,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,8,8,Passive,,legal,2,OBJ.N5 SBJ.N1 PUSH-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N1-PUSH-TR.mp4,,SBJ-N1-OBJ-N5-PUSH-TR.mp3,732.073,738.079,6.005999999999972,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,9,9,Passive,,legal,1,SBJ.N1 JUMP-INTR,,SBJ-V.INTR,,0,SBJ-N1-JUMP-INTR.mp4,,SBJ-N1-JUMP-INTR.mp3,738.081,743.636,5.55499999999995,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,10,10,Passive,,legal,2,OBJ.N5 SBJ.N2 REVEAL-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,743.637,749.87,6.233000000000061,,,
453124,453124,,2026-05-18_20h30.12.392,BrocantoHPilot1MorphSession1,1,1,11,11,Passive,,legal,2,OBJ.N5 SBJ.N2 HIDE-TR,,OBJ-SBJ-V.TR,,0,OBJ-N5-SBJ-N2-HIDE-TR.mp4,,SBJ-N2-HIDE-TR-OBJ-N5.mp3,749.871,755.536,5.664999999999964,,,
